bigram,n
fake news,142
witch hunt,78
north carolina,63
news media,51
prime minister,39
southern border,39
white house,39
hurricane dorian,38
mueller report,35
federal reserve,33
york times,32
radical left,30
american people,29
joe biden,28
republican party,28
democrat party,26
supreme court,26
robert mueller,23
crooked hillary,22
dan bishop,22
ed henry,22
hillary clinton,22
law enforcement,22
nancy pelosi,22
sleepy joe,22
border patrol,21
mark levin,21
adam schiff,20
illegal immigration,20
lamestream media,20
stock market,20
trade deal,20
trump administration,20
billion dollars,19
god bless,19
ukrainian president,19
donald trump,18
el paso,18
00 p.m,16
corrupt media,15
president obama,15
washington post,15
2016 election,14
air force,14
total endorsement,14
approval rating,13
elijah cummings,13
presidential harassment,13
pro quo,13
quid pro,13
social media,13
south carolina,13
unemployment rate,13
corrupt news,12
dayton ohio,12
greg murphy,12
jobs jobs,12
drug prices,11
happy birthday,11
james comey,11
jay powell,11
national security,11
president xi,11
united kingdom,11
1 2,10
border security,10
border wall,10
immigration laws,10
left democrats,10
north korea,10
russia russia,10
2 1,9
2020 election,9
9 00,9
african american,9
american workers,9
illegal immigrants,9
key messages,9
orlando florida,9
puerto rico,9
quantitative tightening,9
south korea,9
trade deals,9
united nations,9
billion dollar,8
border crisis,8
called whistleblower,8
category 5,8
east coast,8
fantastic job,8
independence day,8
low ratings,8
mainstream media,8
paso texas,8
phone call,8
president trump’s,8
sanctuary cities,8
tropical storm,8
washington d.c,8
7 00,7
amazon washington,7
anti trump,7
chairman kim,7
chuck schumer,7
court justices,7
criminal justice,7
failing nytimes,7
foreign leader,7
fox news,7
hand information,7
highly respected,7
hong kong,7
hunter biden,7
kim jong,7
phony witch,7
presidential medal,7
record setting,7
trump haters,7
トランプ 大統領,6
"33,000 emails",6
94 approval,6
agricultural product,6
ap rocky,6
christopher steele,6
country’s history,6
election day,6
fake corrupt,6
justice reform,6
local officials,6
military vets,6
mitch mcconnell,6
morningsmaria foxbusiness,6
nuclear weapons,6
oval office,6
president donald,6
storm surge,6
trump campaign,6
trump economy,6
ukraine call,6
00 pm,5
21st century,5
african americans,5
biarritz france,5
bob cousy,5
breaking news,5
brett kavanaugh,5
camp david,5
coast guard,5
crime borders,5
currency manipulation,5
democrats don’t,5
federal government,5
force winds,5
france g7biarritz,5
fusion gps,5
hate israel,5
held accountable,5
house democrats,5
hunt hoax,5
ig report,5
illegal aliens,5
it’s time,5
judiciary committee,5
justice kavanaugh,5
kevin mccarthy,5
liddle adam,5
lincoln memorial,5
low inflation,5
lowest unemployment,5
media summit,5
minister abeshinzo,5
minister borisjohnson,5
mitt romney,5
morningsmaria⁩ foxbusiness⁩,5
obama administration,5
prescription drug,5
pro growth,5
ratings cnn,5
record low,5
regulation cuts,5
rep adam,5
steve hilton,5
tomorrow night,5
tremendous success,5
tropical cyclone,5
u.s history,5
18 angry,4
2020 democrats,4
250 billion,4
2nd amendment,4
300 billion,4
8 00,4
acid washed,4
american community,4
american history,4
american jobs,4
anti semite,4
bahama island,4
beautiful evening,4
bless america,4
borders sanctuary,4
brandon usminority,4
bruce ohr,4
business leaders,4
carolina vote,4
chris cuomo,4
chris wallace,4
cnn msnbc,4
comcast nbc,4
corey lewandowski,4
court judge,4
crime strong,4
crimes committed,4
cyclone update,4
didn’t exist,4
distant future,4
don’t care,4
dorian advisory,4
election interference,4
european union,4
fed raised,4
federal court,4
federal judge,4
federal judges,4
fishing expedition,4
foul language,4
fred keller,4
front page,4
grand bahama,4
hispanic americans,4
house judiciary,4
house republicans,4
house social,4
human trafficking,4
impeach president,4
impeachment charade,4
impeachment inquiry,4
incompetent mayor,4
incredible people,4
innocent people,4
intelligence committee,4
intelligence community,4
it’s called,4
jobs created,4
john dean,4
kavanaugh confirmation,4
left congresswomen,4
left dems,4
life threatening,4
low unemployment,4
mass shootings,4
mike pence,4
million dollar,4
minister abe,4
ms 13,4
mueller didn’t,4
national border,4
nervous nancy,4
news conference,4
nytimes story,4
outstanding job,4
p.m eastern,4
patriot farmers,4
patrol agents,4
paul ryan,4
phone conversation,4
potus realdonaldtrump,4
president moon,4
president realdonaldtrump’s,4
president trump's,4
presidential campaign,4
presidential candidate,4
presidential election,4
real story,4
russia hoax,4
russia investigation,4
san antonio,4
saudi arabia,4
special counsel,4
strong dollar,4
tax cuts,4
telephone call,4
threatening storm,4
trade agreement,4
trump hating,4
trump voters,4
ukraine president,4
ukrainian government,4
vice president,4
west virginia,4
world leaders,4
world war,4
york city,4
1 3,3
10 days,3
100 correct,3
11 days,3
12 million,3
150 billion,3
1600 daily,3
"20,000 seat",3
2016 presidential,3
24 7,3
30 hours,3
332 95,3
40 million,3
403wg wc130j,3
9 11,3
abaco islands,3
acting director,3
agricultural products,3
american citizens,3
american companies,3
american energy,3
american farmers,3
american flag,3
american patriots,3
american unemployment,3
american worker,3
amway center,3
andy mccabe,3
attorney john,3
auto industry,3
avoid paying,3
bad news,3
badly run,3
ballot box,3
barely covered,3
bernie sanders,3
biggest story,3
black version,3
blue collar,3
bob mueller,3
boris johnson,3
borrow money,3
brandon judd,3
budget deal,3
can’t win,3
carolina 03,3
carolina coast,3
central bank,3
cincinnati ohio,3
civil war,3
civilian honor,3
classified information,3
climate change,3
cnn nytimes,3
collar workers,3
